codigo_ocorrencia1;ocorrencia_tipo;taxonomia_tipo_icao
83599;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83598;COLISÃO COM AVE;BIRD
83597;COLISÃO COM AVE;BIRD
83596;COLISÃO COM AVE;BIRD
83595;COLISÃO COM AVE;BIRD
83594;COLISÃO COM AVE;BIRD
83593;COLISÃO COM AVE;BIRD
83592;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83590;COLISÃO COM AVE;BIRD
83589;COLISÃO COM AVE;BIRD
83588;COLISÃO COM AVE;BIRD
83587;COLISÃO COM AVE;BIRD
83586;COLISÃO COM AVE;BIRD
83585;COLISÃO COM AVE;BIRD
83584;COLISÃO COM AVE;BIRD
83583;COLISÃO COM AVE;BIRD
83582;COLISÃO COM AVE;BIRD
83581;COLISÃO COM AVE;BIRD
83580;COLISÃO COM AVE;BIRD
83579;COLISÃO COM AVE;BIRD
83578;COLISÃO COM AVE;BIRD
83577;COLISÃO COM AVE;BIRD
83576;COLISÃO COM AVE;BIRD
83575;COLISÃO COM AVE;BIRD
83574;COLISÃO COM AVE;BIRD
83573;COLISÃO COM FAUNA;WILD
83572;COLISÃO COM FAUNA;WILD
83571;COLISÃO COM FAUNA;WILD
83570;COLISÃO COM FAUNA;WILD
83569;EXCURSÃO DE PISTA;RE
83569;PERDA DE CONTROLE NO SOLO;LOC-G
83567;FOGO/FUMAÇA (SEM IMPACTO);F-NI
83566;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83565;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83564;PERDA DE CONTROLE EM VOO;LOC-I
83563;INDETERMINADO;UNK
83562;INDETERMINADO;UNK
83561;PERDA DE CONTROLE EM VOO;LOC-I
83559;OUTROS;OTHR
83558;COLISÃO COM AVE;BIRD
83557;COLISÃO COM AVE;BIRD
83556;COLISÃO COM AVE;BIRD
83555;COLISÃO COM AVE;BIRD
83554;COLISÃO COM AVE;BIRD
83553;COLISÃO COM AVE;BIRD
83552;COLISÃO COM AVE;BIRD
83550;COLISÃO COM AVE;BIRD
83549;COLISÃO COM AVE;BIRD
83548;COLISÃO COM AVE;BIRD
83547;COLISÃO COM AVE;BIRD
83546;COLISÃO COM AVE;BIRD
83545;COLISÃO COM AVE;BIRD
83544;COLISÃO COM AVE;BIRD
83543;COLISÃO NO SOLO;GCOL
83542;COLISÃO COM FAUNA;WILD
83541;COLISÃO COM FAUNA;WILD
83540;COLISÃO COM FAUNA;WILD
83539;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83538;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83535;COLISÃO COM AVE;BIRD
83534;COLISÃO COM AVE;BIRD
83533;COLISÃO COM AVE;BIRD
83532;COLISÃO COM AVE;BIRD
83531;COLISÃO COM AVE;BIRD
83530;COLISÃO COM AVE;BIRD
83529;COLISÃO COM AVE;BIRD
83528;COLISÃO COM AVE;BIRD
83527;COLISÃO COM AVE;BIRD
83525;EXCURSÃO DE PISTA;RE
83524;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83523;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83522;EXCURSÃO DE PISTA;RE
83522;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83521;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83520;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
83520;EXCURSÃO DE PISTA;RE
83519;OPERAÇÕES NO SOLO;[RAMP]
83518;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83517;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83515;COLISÃO COM AVE;BIRD
83514;COLISÃO COM AVE;BIRD
83513;COLISÃO COM AVE;BIRD
83512;COLISÃO COM AVE;BIRD
83511;COLISÃO COM AVE;BIRD
83510;COLISÃO COM AVE;BIRD
